scenario,scenario_label,method,capture,lift,brier,oracle_regret,membership_error,lift_sd
annual_drift,Annual distribution drift,Lower credible bound,0.12506596557578775,2.4934131094738046,0.023404513221469588,0.0613395266784524,,0.6073587376804925
annual_drift,Annual distribution drift,Hierarchical shrinkage,0.12498378181286059,2.491773045847348,0.013776095507921218,0.06161911455692486,0.00582109200122387,0.6435671777200273
annual_drift,Annual distribution drift,Membership top-k,0.1248731442369908,2.489617631604345,0.026075547059750653,0.06163119402800418,0.00582109200122387,0.6243319703663595
annual_drift,Annual distribution drift,Boundary-product top-k,0.12438356465396919,2.479856872531269,0.04098619761474799,0.062065149456581876,0.00582109200122387,0.639981828312107
annual_drift,Annual distribution drift,Upper credible bound,0.12301243553136082,2.4524939322307584,0.028889760529312025,0.06328820172883125,,0.6701613506099736
annual_drift,Annual distribution drift,Direct cell,0.1084789347188832,2.1627220817621207,0.04214298022510739,0.07848135238168014,,0.4010256770480528
annual_drift,Annual distribution drift,Parent cell,0.10573128789745305,2.1078110319137973,0.01557286919023995,0.08034577640524633,,0.7585698235781124
annual_drift,Annual distribution drift,Laplace cell,0.10428675329265699,2.0792844309374696,0.0538725295004429,0.08181753084391336,,0.43928192785662695
annual_drift,Annual distribution drift,Thompson top-k,0.10085407221819405,2.0106388695464106,0.021959681972016185,0.08542764859172935,,0.576084062576496
burden_damage_divergence,Burden-damage divergence,Lower credible bound,0.1340103701315335,2.675583965268339,0.017664765065711584,0.06007675772323661,,0.5956782212098112
burden_damage_divergence,Burden-damage divergence,Hierarchical shrinkage,0.13319641475285834,2.6593512601947844,0.011447598904463094,0.060834564967926184,0.005833092587803037,0.6143895307540925
burden_damage_divergence,Burden-damage divergence,Boundary-product top-k,0.13313099978195828,2.658038864596827,0.03249398194861003,0.061672587619187376,0.005833092587803037,0.6282734738265432
burden_damage_divergence,Burden-damage divergence,Membership top-k,0.13268985777513015,2.649241394215839,0.019873973283683198,0.061263711788219856,0.005833092587803037,0.6229801612110638
burden_damage_divergence,Burden-damage divergence,Upper credible bound,0.13208136576011345,2.63709550313697,0.030593183411536957,0.06237091146189786,,0.6428017558435098
burden_damage_divergence,Burden-damage divergence,Direct cell,0.11561977401616705,2.308345759888778,0.03967596210218275,0.07926992075873089,,0.4750829701020254
burden_damage_divergence,Burden-damage divergence,Laplace cell,0.11159072343217619,2.2279614969209636,0.05735630355774561,0.08313505150059025,,0.490194539303983
burden_damage_divergence,Burden-damage divergence,Parent cell,0.10663029222427026,2.1289950411589764,0.01318092099690141,0.08799956590471109,,0.7576786064615338
burden_damage_divergence,Burden-damage divergence,Thompson top-k,0.10491142275621733,2.0945517729534524,0.019592272258748537,0.08821876003563839,,0.6536922351594207
noisy_child_parent_stable,"Noisy child, stable parent",Parent cell,0.11464332300835013,2.2856061635196996,0.005031594155717204,0.033468999504941734,,0.8332992807334838
