rep,alpha,draws,method,capture,hit_rate,lift,brier,selected_cells
0,10.0,200,Direct cell,0.12959381044487428,0.3435897435897436,2.585894956107722,0.061311559308322286,27
0,10.0,200,Parent cell,0.1218568665377176,0.3230769230769231,2.4315131676833808,0.013990012009841292,20
0,10.0,200,Hierarchical shrinkage,0.13926499032882012,0.36923076923076925,2.778872191638149,0.011537052126501125,22
1,10.0,200,Direct cell,0.11778290993071594,0.37317073170731707,2.3504872415929703,0.05828963345596756,25
1,10.0,200,Parent cell,0.15011547344110854,0.47560975609756095,2.995719033402805,0.013239512835012016,17
1,10.0,200,Hierarchical shrinkage,0.16936104695919937,0.5365853658536586,3.379785576146755,0.010781839591223318,19
2,10.0,200,Direct cell,0.13291796469366562,0.330749354005168,2.6569854647808717,0.05353097909812853,25
2,10.0,200,Parent cell,0.08515057113187954,0.21188630490956073,1.7021313133752458,0.013151671413455773,23
2,10.0,200,Hierarchical shrinkage,0.12461059190031153,0.31007751937984496,2.490923873232067,0.010819960038206924,23
3,10.0,200,Direct cell,0.14158163265306123,0.296,2.8301224489795915,0.05153785749434901,27
3,10.0,200,Parent cell,0.11862244897959184,0.248,2.3711836734693876,0.00865155871687328,24
3,10.0,200,Hierarchical shrinkage,0.13137755102040816,0.27466666666666667,2.6261496598639456,0.007090520786233218,24
4,10.0,200,Direct cell,0.1545372866127583,0.4321608040201005,3.083368324100286,0.06171410479274459,23
4,10.0,200,Parent cell,0.14734950584007186,0.4120603015075377,2.939955843909575,0.015067333034816496,20
4,10.0,200,Hierarchical shrinkage,0.18149146451033243,0.507537688442211,3.6211651248154517,0.013009789422669489,21
5,10.0,200,Direct cell,0.10319917440660474,0.2544529262086514,2.0608323683028855,0.05405738400682807,26
5,10.0,200,Parent cell,0.07223942208462332,0.178117048346056,1.44258265781202,0.01278194599523753,25
5,10.0,200,Hierarchical shrinkage,0.10319917440660474,0.2544529262086514,2.0608323683028855,0.011452854043257403,26
6,10.0,200,Direct cell,0.12613430127041741,0.34405940594059403,2.5214371709403247,0.04905779004634937,25
6,10.0,200,Parent cell,0.1206896551724138,0.3292079207920792,2.4125981563673613,0.014311007036576262,24
6,10.0,200,Hierarchical shrinkage,0.147005444646098,0.400990099009901,2.9386533934700187,0.01195102240237331,24
7,10.0,200,Direct cell,0.13034825870646766,0.33418367346938777,2.603639963448066,0.057071419081796596,26
7,10.0,200,Parent cell,0.0845771144278607,0.21683673469387754,1.6893847091075236,0.012360390370244508,20
7,10.0,200,Hierarchical shrinkage,0.14626865671641792,0.375,2.921641791044776,0.01033065073219931,24
8,10.0,200,Direct cell,0.11893434823977164,0.3213367609254499,2.3777697333180052,0.057393888578127945,25
8,10.0,200,Parent cell,0.10371075166508087,0.2802056555269923,2.0734152074533005,0.016855137553943602,23
8,10.0,200,Hierarchical shrinkage,0.13035204567078973,0.35218508997429304,2.6060356277165337,0.013884909846020456,24
9,10.0,200,Direct cell,0.11513463324048283,0.3155216284987277,2.2997630303760563,0.060861186548307425,26
9,10.0,200,Parent cell,0.11513463324048283,0.3155216284987277,2.2997630303760563,0.017110323181172008,22
9,10.0,200,Hierarchical shrinkage,0.14763231197771587,0.40458015267175573,2.94888969217575,0.014348335829833575,22
